@timestamp per day,Confirmed,Recovered,DIed
10/8/20,428,428,428
10/9/20,430,430,430
10/10/20,432,432,432
10/11/20,433,433,433
10/12/20,434,434,434
10/13/20,438,438,438
10/14/20,439,439,439
10/15/20,441,441,441
10/16/20,443,443,443
10/17/20,444,444,444
10/18/20,444,444,444
10/19/20,447,447,447
10/20/20,450,450,450
10/21/20,453,453,453
10/22/20,455,455,455
10/23/20,457,457,457
10/24/20,457,457,457
10/25/20,457,457,457
10/26/20,460,460,460
10/27/20,461,461,461
10/28/20,462,462,462
10/29/20,463,463,463
10/30/20,464,464,464
10/31/20,466,466,466
11/1/20,468,468,468
11/2/20,472,472,472
11/3/20,474,474,474
11/4/20,475,475,475
11/5/20,476,476,476
11/6/20,477,477,477
11/7/20,478,478,478
11/8/20,480,480,480
11/9/20,485,485,485
11/10/20,487,487,487
11/11/20,487,487,487
11/12/20,488,488,488
11/13/20,492,492,492
11/14/20,493,493,493
11/15/20,494,494,494
11/16/20,494,494,494
11/17/20,496,496,496
11/18/20,498,498,498
11/19/20,501,501,501
11/20/20,503,503,503
11/21/20,505,505,505
11/22/20,509,509,509
11/23/20,510,510,510
11/24/20,513,513,513
11/25/20,515,515,515
11/26/20,516,516,516
11/27/20,522,522,522
11/28/20,523,523,523
11/29/20,526,526,526
11/30/20,526,526,526
12/1/20,526,526,526
12/2/20,529,529,529
12/3/20,536,536,536
12/4/20,540,540,540
