@timestamp per day,Confirmed,Recovered,DIed
10/8/20,"7,616,900","3,021,252","212,969"
10/9/20,"7,673,157","3,039,089","213,925"
10/10/20,"7,727,487","3,062,983","214,546"
10/11/20,"7,773,529","3,075,077","214,949"
10/12/20,"7,814,382","3,106,728","215,273"
10/13/20,"7,867,424","3,124,593","216,078"
10/14/20,"7,926,797","3,155,794","217,083"
10/15/20,"7,991,389","3,177,397","217,890"
10/16/20,"8,059,940","3,197,539","218,779"
10/17/20,"8,117,014","3,220,573","219,494"
10/18/20,"8,166,599","3,234,138","219,887"
10/19/20,"8,233,696","3,272,603","220,338"
10/20/20,"8,295,006","3,295,148","221,273"
10/21/20,"8,357,429","3,323,354","222,437"
10/22/20,"8,432,880","3,353,056","223,267"
10/23/20,"8,514,677","3,375,427","224,214"
10/24/20,"8,597,693","3,406,656","225,135"
10/25/20,"8,660,051","3,422,878","225,479"
10/26/20,"8,726,727","3,460,455","225,945"
10/27/20,"8,803,888","3,487,666","226,931"
10/28/20,"8,881,950","3,518,140","227,933"
10/29/20,"8,972,577","3,554,336","228,907"
10/30/20,"9,071,459","3,578,452","229,915"
10/31/20,"9,160,496","3,612,478","230,819"
11/1/20,"9,236,197","3,630,579","231,219"
11/2/20,"9,320,331","3,674,981","231,713"
11/3/20,"9,445,310","3,705,130","233,299"
11/4/20,"9,547,562","3,743,527","234,418"
11/5/20,"9,673,854","3,781,751","235,581"
11/6/20,"9,799,843","3,810,791","236,801"
11/7/20,"9,928,306","3,851,465","237,835"
11/8/20,"10,038,356","3,881,491","238,297"
11/9/20,"10,126,025","3,928,845","238,981"
11/10/20,"10,268,446","3,961,873","240,405"
11/11/20,"10,412,095","3,997,175","241,872"
11/12/20,"10,573,242","4,051,256","243,245"
11/13/20,"10,750,810","4,095,146","244,404"
11/14/20,"10,917,560","4,148,444","245,664"
11/15/20,"11,053,501","4,174,884","246,292"
11/16/20,"11,211,321","4,244,811","247,030"
11/17/20,"11,371,895","4,293,640","248,724"
11/18/20,"11,542,408","4,350,789","250,621"
11/19/20,"11,730,441","4,410,709","252,609"
11/20/20,"11,925,959","4,457,930","254,517"
11/21/20,"12,104,056","4,529,700","255,947"
11/22/20,"12,246,863","4,526,513","256,869"
11/23/20,"12,418,378","4,633,600","257,782"
11/24/20,"12,591,366","4,696,664","259,929"
11/25/20,"12,772,653","4,835,956","262,222"
11/26/20,"12,883,307","4,871,203","263,456"
11/27/20,"13,088,821","4,947,446","264,858"
11/28/20,"13,244,701","5,023,063","266,047"
11/29/20,"13,383,370","5,065,030","266,873"
11/30/20,"13,541,221","5,146,319","268,045"
12/1/20,"13,721,858","5,226,581","270,642"
12/2/20,"13,921,913","5,322,128","273,446"
12/3/20,"14,139,577","5,404,018","276,325"
12/4/20,"14,367,462","5,470,389","278,932"
12/5/20,"14,581,337","5,576,026","281,186"
